video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=av_NQkxRnPc&pp=ygUHc2VhdHRsZQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Seattle Washington 2026 4K,170K,8 months,In this best things to do in Seattle Washington travel guide we show you all around this Pacific Northwest Gem. We show you 25 ...,2026-01-14 21:52:10.875867
/watch?v=V-mQyPCrqAs&pp=ygUHc2VhdHRsZQ%3D%3D,/@Versedyoutube,Versed,Why Seattle Is the Opposite of a Natural City,98K,3 days,Why Seattle Is the Opposite of a Natural City.,2026-01-14 21:52:10.880627
/watch?v=wqffXo6euV8&pp=ygUHc2VhdHRsZQ%3D%3D,/@camdendavid,Camden David,23 Tips I Wish I Knew Before Visiting Seattle,99K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-14 21:52:10.881871
/watch?v=BSuIwG2nDkI&pp=ygUHc2VhdHRsZQ%3D%3D,/@TheDetourDuo,The Detour Duo,We went to the Seattle Most Tourists Miss,76K,3 months,"This isn't the Seattle you usually see in travel guides. In this video, we explore the hidden side of Seattle, Washington, parts that ...",2026-01-14 21:52:10.887336
/watch?v=jRm6WCmIrGM&pp=ygUHc2VhdHRsZQ%3D%3D,/@CityGeek,City Geek,"Seattle Overview | An informative introduction to Seattle, Washington",466K,2 years,"Seattle is arguably the most beautiful city in America. I lived there for a couple years as a child, which really sparked my interest in ...",2026-01-14 21:52:10.889013
/shorts/DBKZVkZ7U2I,/@KING5Seattle,KING 5 Seattle,Former Bothell city council member strikes plea deal in killing of 20-year-old in Seattle,1K,3 hours,A former Bothell city councilmember struck a plea deal for manslaughter and domestic assault in the killing of 20-year-old Liliya ...,2026-01-14 21:52:10.890624
/shorts/d5Od84ZWjr0,/@ReasonTV,ReasonTV,Why is there a Lenin statue in Seattle?,3.2M,1 year,Seattle's 16-foot bronze Vladimir Lenin statue first appeared in Washington state in 1993. Lewis Carpenter found it while traveling ...,2026-01-14 21:52:10.892435
/shorts/JbJHwCdmoQk,/@ReasonTV,ReasonTV,Why Seattle’s mass transit sucks,179K,5 months,Why is Seattle spending $148 billion and cutting down 14000 trees under the guise of green transportation? #Seattle ...,2026-01-14 21:52:10.894691
/watch?v=S973ZhUR6N0&pp=ygUHc2VhdHRsZQ%3D%3D,/@ThroughMyLens,Through My Lens,Perfect Day in Seattle Without a Car: 14+ Stops in the Emerald City,191K,1 year,"In this video, we'll take you through the perfect day in Seattle, all without needing a car! From the vibrant Pike Place Market to the ...",2026-01-14 21:52:10.896652
/watch?v=92ISlO9U-84&pp=ygUHc2VhdHRsZQ%3D%3D,/@Expedia,Expedia,Seattle Vacation Travel Guide | Expedia,3.1M,12 years,Seattle – an evergreen city no stranger to fun and flair! Follow our trip through Seattle and get some tips and inspiration to plan ...,2026-01-14 21:52:10.899737
/watch?v=2_ABJTH1qWE&list=RD2_ABJTH1qWE&start_radio=1&pp=ygUHc2VhdHRsZaAHAQ%3D%3D,/channel/UCZFX-EzDNnO--FGP0ZOVbiA,Shordie Shordie,Shordie Shordie & Murda Beatz - Seattle (Official Music Video),6.2M,4 years,Listen to 'Memory Lane': https://shordieshordiemurdabeatz.lnk.to/memorylane Shordie Shordie Socials: ...,2026-01-14 21:52:10.901446
/watch?v=NnrVSgNKius&pp=ygUHc2VhdHRsZQ%3D%3D,/@AdventuresofMattandNat,Adventures of Matt and Nat,"How to Spend One Day in Seattle, Washington | Top Things to Do, See, & Eat in the “Emerald City”!",105K,1 year,Start fresh any day of the year with our sponsor BetterHelp. Click https://betterhelp.com/mattandnat for a discount on your first ...,2026-01-14 21:52:10.903886
/watch?v=W10SHsKgVqg&pp=ygUHc2VhdHRsZQ%3D%3D,/@KING5Seattle,KING 5 Seattle,"Seattle's emergency management system is stressed, consultants find",807,19 hours,"Consultants warn Seattle's emergency management system is stretched thin as storms, floods and major events like the World ...",2026-01-14 21:52:10.905882
/watch?v=jJ2kumksAys&pp=ygUHc2VhdHRsZdIHCQlNCgGHKiGM7w%3D%3D,/@TheNellieMiranda,Nellie Miranda,Seattle’s Mayor Says Audits Are ‘Racist’,20K,2 days,Seattle's new mayor takes a controversial stance amid growing questions about government-funded childcare programs. She said ...,2026-01-14 21:52:10.908397
/watch?v=JoISt9koTVQ&pp=ygUHc2VhdHRsZQ%3D%3D,/@komonews,KOMO News,"Trump vows to cut federal funds to sanctuary cities, Seattle braces for impacts",1.9K,3 hours,President Trump is vowing to cut federal payments to sanctuary states and cities in a matter of weeks. The Department of Justice ...,2026-01-14 21:52:10.910858
/shorts/3eunes_EN60,/@ReasonTV,ReasonTV,Seattle PUNISHED HIM for homeless squatters?!,317K,4 months,"Who is to blame for homeless encampments on private property? If you're Seattle, it's not the homeless, it's not the city, it's—the ...",2026-01-14 21:52:10.912236
